ARRIVED_CALL_SIGN,ARRIVED_SHIP_TYPE,ARRIVED_AGENT_NAME,DUE_LAST_PORT,ARRIVED_ARRIVAL_TIME,DUE_ETA,ARRIVAL_DELAY,DEPARTED_SERVICE_TIME,sigma,ATA,ETA,s
9V7867,CONTAINER,HYALINE SHIPPING (HK) CO LTD,KAOHSIUNG,2025-03-19 02:21:00,2025-03-19 02:00:00,0.35,18.433333333333337,1.15,0.35,0.0,18.43
D5GZ4,CONTAINER,SINOTRANS (HK) SHIPPING LTD,ZHOUSHAN,2025-03-19 03:54:00,2025-03-19 03:30:00,0.4,11.066666666666666,0.0,1.9,1.5,11.07
D5FE7,CONTAINER,YANG MING LINE (HONG KONG) LTD,KAOHSIUNG,2025-03-19 12:18:00,2025-03-19 06:00:00,6.3,11.75,2.5944444444444446,10.3,4.0,11.75
3ELQ8,CONTAINER,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,"SHANGHAI, SH",2025-03-19 06:18:00,2025-03-19 07:00:00,-0.7,12.7,0.0,4.3,5.0,12.7
VRNQ9,CONTAINER,SITC SHIPPING AGENCY (HK) COMPANY LIMITED,"XIAMEN, FJ",2025-03-19 09:02:00,2025-03-19 08:00:00,1.0333333333333334,6.0,0.42222222222222205,7.03,6.0,6.0
D5WI2,CONTAINER,SINOTRANS (HK) SHIPPING LTD,"SHANTOU, GD",2025-03-19 12:30:00,2025-03-19 09:30:00,3.0,10.633333333333333,1.9787878787878783,10.5,7.5,10.63
V7FN5,CONTAINER,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,"SHANGHAI, SH",2025-03-19 12:02:00,2025-03-19 09:30:00,2.533333333333333,22.416666666666668,7.033333333333333,10.03,7.5,22.42
5LFU7,CONTAINER,HYALINE SHIPPING (HK) CO LTD,KAOHSIUNG,2025-03-19 12:39:00,2025-03-19 11:30:00,1.15,7.4,2.5244444444444443,10.65,9.5,7.4
D7JF,CONTAINER,SINOKOR HONGKONG CO LIMITED,PENANG ISLAND,2025-03-19 17:02:00,2025-03-19 16:00:00,1.0333333333333334,10.9,1.5791666666666666,15.03,14.0,10.9
9V7392,CONTAINER,HYALINE SHIPPING (HK) CO LTD,SINGAPORE,2025-03-19 16:36:00,2025-03-19 16:30:00,0.1,13.233333333333333,0.038888888888888896,14.6,14.5,13.23
VROS2,CONTAINER,OCEANLINKS MARINE LIMITED,HAIPHONG,2025-03-19 16:03:00,2025-03-19 17:00:00,-0.95,8.45,0.7413793103448277,14.05,15.0,8.45
9V9093,CONTAINER,SITC SHIPPING AGENCY (HK) COMPANY LIMITED,"SHANGHAI, SH",2025-03-19 20:59:00,2025-03-19 18:30:00,2.4833333333333334,8.916666666666666,16.966666666666665,18.98,16.5,8.92
A8UL6,CONTAINER,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,"YANTIAN, SHENZHEN",2025-03-19 20:10:00,2025-03-19 19:00:00,1.1666666666666667,15.583333333333334,0.13166666666666665,18.17,17.0,15.58
9V7143,CONTAINER,HYALINE SHIPPING (HK) CO LTD,"SHEKOU, SHENZHEN",2025-03-19 23:23:00,2025-03-19 21:30:00,1.8833333333333333,23.6,0.5111111111111111,21.38,19.5,23.6
9HA5839,CONTAINER,CMA CGM ASIA SHIPPING PTE. LTD.,HONG KONG,2025-03-19 03:03:00,2025-03-19 23:00:00,-19.95,7.933333333333334,6.434027777777779,1.05,21.0,7.93
OYLZ2,CONTAINER,SINOTRANS (HK) SHIPPING LTD,"NANSHA, PANYU",2025-03-20 00:38:00,2025-03-19 23:30:00,1.1333333333333333,14.3,1.513157894736842,22.63,21.5,14.3
