Model,Cvar_R1.0_E0.2,Cvar_R1.0_E0.5,Cvar_R1.0_E0.8,Cvar_R1.0_E0.9,TE_R1.0_T0,TE_R1.0_T5,TP_R1.0_T0,TP_R1.0_T5,Var_R1.0_E0.2,Var_R1.0_E0.5,Var_R1.0_E0.8,Var_R1.0_E0.9,WT_R1.0_T0,WT_R1.0_T5
DM(ETA),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RS-1.01,1.0020612096821226,1.0132365505250045,1.0268904409037456,1.0286833121384473,1.0045278141584577,1.0058449339611788,0.994674675317723,0.9976472483371375,0.9882928687669259,0.9896464138320215,1.0161809167105984,1.0251736185625455,1.03398896877674,1.0384234560802776
RS-1.015,1.0099406356159624,1.016373550749785,1.034619484471834,1.0377798921328818,1.0082828862300164,1.009804100729679,1.000296041713509,0.9983987714900606,0.9944159528386192,0.987590706580826,1.0159745164802743,1.0338755014507806,1.0427961618334618,1.0483797097644747
RS-1.02,1.0143783671181972,1.0232490589685,1.0389020341327306,1.0421606601611637,1.0121234849864393,1.0144991133478403,0.9991285238599986,0.9978492198194416,0.9908815338711214,0.9970281250751611,1.0241468745618123,1.0380079014738492,1.0467077286164639,1.0528016125141282
RS-1.025,1.019237740490434,1.0310142994672273,1.0482515160843082,1.0527746205979536,1.017762072427971,1.0215889087835508,0.9969129219798928,0.9990562009304355,0.9915431197190496,1.0069978011010725,1.0299557831201938,1.0426593136701547,1.0622354346999168,1.0703551939906366
RS-1.03,1.0219804572607627,1.033904193732194,1.0525126452757465,1.0566164877311741,1.0171249996915865,1.0205592776926136,0.9978841850555147,0.9952705497952278,0.9866588643471353,1.005147992204054,1.0332440535397387,1.0511526725431057,1.0622385848053686,1.0703587550853928
RS-1.035,1.0194527391185464,1.0317094103510365,1.0494764580911777,1.0518237797216106,1.0150998507298445,1.0178715174149204,0.9979014764612042,1.0006487267940871,0.9849233165912974,1.0041305388962105,1.0323227856989583,1.0483615507670445,1.058960663127862,1.066653168121647
RS-1.04,1.03255497707655,1.0436130211781924,1.0626993704588752,1.0630707121422218,1.022375035359633,1.026224057791456,0.9996328119144746,0.9991870910668854,0.986741855290557,1.0038696547351023,1.0455258613818064,1.0610346874608771,1.0678604079553822,1.0767140486606266
RS-1.05,1.032920660504931,1.048579226184023,1.0685686351517487,1.076842719536717,1.0272137014257523,1.0323770345156404,0.9960871636741293,1.0017865539909547,0.9847846545313109,1.0108534617578284,1.0419160071292242,1.0642367542666895,1.0839397170173852,1.0948911998888182
RS-1.06,1.040695102723684,1.0602286924762971,1.0818895373758068,1.0909490165596594,1.0310316725182898,1.037220421396722,0.9977438730607395,0.9950550278838044,0.9763065456297978,1.020460434638803,1.0539406527020576,1.0783700314956945,1.0953532181184586,1.107793802529102
RS-1.07,1.0505979436398183,1.0710182711517244,1.0931204276273867,1.1027607188203261,1.040009898644115,1.0475659442163414,0.9966099208770973,0.9948014830010159,0.9808022740354819,1.0308761941348965,1.0659752252969235,1.0904534653338387,1.1062477602541159,1.120109738443893
