Model,Cvar_R1.0_E0.2,Cvar_R1.0_E0.5,Cvar_R1.0_E0.8,Cvar_R1.0_E0.9,TE_R1.0_T0,TE_R1.0_T10,TE_R1.0_T15,TE_R1.0_T5,TP_R1.0_T0,TP_R1.0_T10,TP_R1.0_T15,TP_R1.0_T5,Var_R1.0_E0.2,Var_R1.0_E0.5,Var_R1.0_E0.8,Var_R1.0_E0.9,WT_R1.0_T0,WT_R1.0_T10,WT_R1.0_T15,WT_R1.0_T5
DM(ETA),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RS-1.01,0.9928796188050579,1.0190138945666447,1.0453784330758358,1.0496611505633433,1.0085393801026186,1.02575722526736,1.0518230645574493,1.0148146448557869,0.9877764322265166,0.9960251647862771,0.9535957558291852,0.9879919509512622,1.0205011389521643,0.9718881014174485,1.0260594525510534,1.0301910481713397,1.0709400650274095,1.098165220018454,1.120795338645016,1.0823610816143372
RS-1.015,1.0270720832452183,1.0100983571157007,1.0484083197287308,1.0555297827405765,1.0054734223445643,1.0175074605051233,1.0461937030765636,1.0070180825072117,1.0116265297588403,0.9845809091580771,0.9312511695796998,0.9780965934838467,1.3166287015945335,0.9192578358953882,1.0084388418429737,1.0341651288054965,1.071949111036367,1.099561514530445,1.1225221404263486,1.0835325792816186
RS-1.02,0.990515277021088,1.0167324321135682,1.0558072051216962,1.0661964840113025,1.0081952956510591,1.0240682198420783,1.0470088767734091,1.0131182297129102,0.9958647261722612,1.0018903457957296,0.9589477525356487,0.9907066065396684,0.6297646165527716,1.0139124575763625,1.0159398302669205,1.0540559778941765,1.065776817905551,1.091020438158851,1.1119593646177308,1.0763665760069057
RS-1.025,0.9921509169028826,1.020797648844947,1.0488321778154541,1.0631405130268061,1.0121924792915398,1.0273335204930294,1.0518794050543827,1.0229659269791822,0.9932817511825947,1.0151534206219828,0.9627428047456865,0.9902528371304626,0.7172361427486713,1.070710221601118,1.0006509806085013,1.0280071212374777,1.087444753255796,1.1210040255742362,1.149040160764236,1.1015229469674652
RS-1.03,1.0203110351517604,1.0330466236503786,1.07322963559849,1.0876055829324127,1.0238232943078762,1.0504219048855263,1.0827345446930243,1.0358336948996822,0.9978569477579652,1.0042161392300595,0.969809873123994,0.998500295164447,0.7909643128321948,0.9971925534038728,1.02908816741603,1.062069263197272,1.1017543238506613,1.1408052781565645,1.1735284316398558,1.1181362910794905
RS-1.035,0.9996662459721386,1.0368258490899809,1.0714433765187277,1.0844782410756673,1.0274057675968842,1.0565526216301144,1.0930407967756466,1.041449798312662,0.9911299971719251,1.0168598408808305,0.975203039035892,0.9895075775204717,0.9384965831435081,1.0160211619085644,1.0122674905065328,1.048905121096628,1.1110127635468852,1.1536168927139556,1.1893725953527827,1.1288852959915596
RS-1.04,0.9976525487184829,1.0363121128447916,1.0705153136200507,1.0785598655632298,1.0275213336161575,1.052360166794166,1.0938203446468628,1.039414981584216,0.9880882456025855,0.9927286532406264,0.9401062914031213,0.9991402263825576,0.7905846621108581,0.9968431822719105,1.0276519644351272,1.0617542446104182,1.0898168965049244,1.1242865424971626,1.153099659688772,1.1042769941151083
RS-1.05,1.0168974509333055,1.0512794743586045,1.0731947022396942,1.0859402625799273,1.0478991823603445,1.077364194707325,1.1049406723307715,1.0657559807847026,0.9875226306413444,1.0582572347974541,0.9841507915715408,1.012439772980573,0.94457099468489,1.0716210820523058,1.0308756056969997,1.0676373681711582,1.0944136616568418,1.1306474397184547,1.1609662011370638,1.1096138168216103
RS-1.06,1.0209266736981109,1.066404590798169,1.0949302380824848,1.0991698269905172,1.0569614842268236,1.108917887146576,1.1558446390998562,1.0832891421181992,0.9878204245012797,1.0311140699891688,0.9760301657996181,0.9919166582975502,0.6425208807896737,1.0610775603912956,1.0654584907915665,1.1019660643198288,1.092153634630931,1.1275200666301943,1.1570985690771207,1.1069899360814432
RS-1.07,1.0260263825537876,1.0691755703502697,1.0994506147106702,1.1142842312546024,1.0574973766637061,1.1124275900936649,1.1713450257663451,1.0806667358237443,0.9821430038988755,1.0231541814763403,0.9793508364834012,0.9758644889001022,0.9798025816249054,1.0486998402874823,1.0648626780312433,1.1059416594664222,1.105200422501136,1.1455739097062883,1.1794258131620672,1.1221371953934793
